train_size_abs,train_size_props,train_mean,train_sd,test_mean,test_sd
48,0.1,0.4913490664326591,0.26368561747783287,0.041510298269122135,0.05568668595870995
144,0.3,0.8173822129520042,0.2730918192543511,0.09229019636262911,0.12622777469291874
240,0.5,0.6829445197014969,0.29952086727354915,0.0618014863138989,0.0791635175884595
336,0.7,0.6918697667362068,0.2772698569016282,0.04748094008162544,0.06306781486083474
432,0.9,0.9387882868288697,0.002414279519100329,0.23846079310942395,0.12164583393176252
481,1.0,0.9251503082564279,0.008066456065608659,0.26489333975901275,0.16080401887082058
